sale_date,sale_price,latitude,longitude,city,zoning,land_val,imp_val,year_built,sqft_lot,sqft,grade,fbsmt_grade,home_condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_otherwater,year,zipcode
2018-06-06,800000,47.56623755,-122.3810137,SEATTLE,SF 5000,105000,95000,1922,4830,1400,6,0,3,1.5,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2018,98116
2018-06-19,675000,47.59698836,-122.2954597,SEATTLE,SF 5000,29000,75000,1901,3600,890,5,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98144
2018-06-20,1108000,47.56507277,-122.3912155,SEATTLE,SF 5000,45000,70800,1909,5650,1270,6,0,3,1.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98116
2018-06-27,590000,47.71253565,-122.3297161,SEATTLE,SF 7200,72000,100000,1954,8100,1320,7,0,3,1.0,3,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98133
2018-06-21,1000000,47.54207055,-122.3911452,SEATTLE,SF 5000,92000,109000,1920,7628,1740,7,7,4,1.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98136
2018-07-09,1010000,47.67843335,-122.3485607,SEATTLE,SF 5000,96000,123000,1916,5208,1420,6,0,4,1.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98103
2018-07-13,440000,47.7129688,-122.31018,SEATTLE,SF 7200,76000,51000,1941,7980,820,6,0,2,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98125
2018-07-25,1675000,47.64614242,-122.3023849,SEATTLE,SF 5000,181000,337000,1926,5450,1850,10,0,4,2.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98112
2018-07-18,1250000,47.68952547,-122.3239406,SEATTLE,SF 5000,90000,151000,1931,4960,1380,8,7,4,1.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98115
2018-08-06,1075000,47.68275345,-122.3589899,SEATTLE,SF 5000,67000,135000,1945,4000,1300,7,6,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98117
2018-08-04,654900,47.55038392,-122.3741853,SEATTLE,SF 5000,32000,89000,1932,7440,1710,6,0,2,2.0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2018,98126
2018-08-07,859000,47.5777637,-122.2955088,SEATTLE,SF 5000,40000,125000,1928,5279,1070,6,2,4,1.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98144
2018-08-08,890000,47.66873498,-122.3231978,SEATTLE,SF 5000,66000,126000,1922,3400,1640,7,7,2,1.0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018,98105
2018-08-14,470000,47.73032733,-122.3419849,SEATTLE,SF 5000,68000,58000,1950,7200,730,6,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98133
2018-08-27,700000,47.65659024,-122.3926159,SEATTLE,SF 5000,126000,21000,1925,5500,600,6,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98199
2018-08-16,301000,47.52538252,-122.3275471,SEATTLE,SF 5000,29000,61000,1901,6000,990,6,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98108
2018-08-27,705000,47.7251976,-122.2959149,SEATTLE,SF 7200,78000,59000,1947,10101,960,7,0,3,1.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018,98125
2018-08-31,1005000,47.65877622,-122.3238222,SEATTLE,SF 5000,87000,129000,1928,3840,1180,7,0,4,1.0,3,1,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98105
2018-09-13,385000,47.55806164,-122.316849,SEATTLE,SF 5000,36200,31700,1912,5000,940,6,0,3,1.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98108
2018-09-10,1100000,47.67051327,-122.2905648,SEATTLE,SF 5000,137000,169000,1925,9040,2310,7,0,4,1.5,5,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2018,98105
2018-09-13,505000,47.69621345,-122.2903187,SEATTLE,SF 5000,79000,58000,1943,5916,790,7,0,2,1.0,2,1,0,0,290,0,0,0,0,2,0,0,0,0,0,0,0,0,2018,98115
2018-09-17,3450000,47.62845655,-122.3624605,SEATTLE,SF 5000,473000,466000,1911,7100,3280,10,8,3,2.0,4,1,2,0,0,0,0,0,0,0,3,0,0,3,4,4,0,0,2018,98119
